created_at,open,high,low,close,CDLABANDONEDBABY,CDL3INSIDE,CDLMORNINGSTAR,CDL3WHITESOLDIERS,CDLRISEFALL3METHODS,CDLUNIQUE3RIVER,CDLMORNINGDOJISTAR,CDLTRISTAR,CDLLADDERBOTTOM,CDLBREAKAWAY,CDLSTICKSANDWICH,CDLADVANCEBLOCK,CDLCONCEALBABYSWALL
2026-01-30 13:57:00+05:30,1140.1,1141.4,1138.0,1141.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:00:00+05:30,1141.4,1142.6,1139.1,1142.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:03:00+05:30,1142.2,1143.1,1141.5,1142.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:06:00+05:30,1142.1,1142.7,1140.8,1140.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:09:00+05:30,1140.7,1141.3,1139.6,1140.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:12:00+05:30,1140.7,1142.1,1140.0,1141.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:15:00+05:30,1141.7,1142.3,1139.8,1140.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:18:00+05:30,1140.8,1142.9,1140.3,1142.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:21:00+05:30,1142.1,1142.7,1141.9,1142.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:24:00+05:30,1142.1,1142.3,1141.5,1142.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:27:00+05:30,1142.0,1142.1,1136.9,1137.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:30:00+05:30,1137.9,1138.9,1136.1,1137.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:33:00+05:30,1137.4,1137.7,1133.7,1135.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:36:00+05:30,1135.9,1137.9,1134.4,1136.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:39:00+05:30,1136.4,1137.2,1133.6,1135.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:42:00+05:30,1135.3,1135.8,1131.1,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:45:00+05:30,1133.1,1133.1,1127.1,1129.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:48:00+05:30,1129.5,1131.1,1127.6,1130.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:51:00+05:30,1130.8,1131.4,1128.2,1131.3,0,0,0,0,0,0,0,0,0,0,0,0,0
